id,x,y,elev
475,40.800118,2.441291,337
476,41.417044,3.478156,401
477,41.191138,3.734596,501
478,40.714139,2.834826,444
479,40.253901,3.117062,534
480,37.75082,2.790147,430
481,37.563356,2.124242,522
482,37.562615,1.72054,575
483,36.335223,3.31418,441
484,37.672301,1.696574,557
485,37.50698,1.95401,532
486,37.469104,1.955253,549
487,37.590556,1.515131,836
488,37.788603,3.242692,796
489,38.565124,2.891469,560
490,37.456511,1.596753,766
491,36.518292,3.156093,608
492,37.399415,2.872626,392
493,36.939978,3.762505,671
494,37.985076,1.839638,436
495,37.017435,3.048184,467
496,36.765076,3.458733,563
497,37.558365,3.355921,781
498,38.245896,1.664711,387
499,37.826387,3.649317,1130
500,37.889104,0.095787,1093
501,37.825474,0.144868,1431
502,37.652638,0.471531,971
503,37.390211,-0.129553,3552
504,38.256812,-0.014495,437
505,38.101697,0.164028,691
506,37.653107,-0.002545,1592
507,37.280051,0.123431,2266
508,38.229359,0.188505,595
509,38.112427,0.226172,746
510,37.968559,0.152891,1128
511,38.03474,0.535117,1052
512,37.86139,0.486243,1041
513,37.734337,0.329775,1163
514,37.974234,0.587967,896
515,37.675532,0.230759,1322
516,37.505192,-0.148413,2598
517,37.368421,0.037588,3006
518,37.672794,-0.120003,1377
519,37.951182,0.474208,1171
520,34.538683,-1.178716,1467
521,34.446738,-0.872916,1357
522,34.440334,-1.083529,1372
523,34.148207,-0.865901,1137
524,34.301663,-0.968187,1244
525,34.39224,-0.88236,1292
526,34.600933,-0.804535,1458
527,34.066463,-0.810136,1136
528,34.660868,-1.280615,1658
529,34.204916,-0.806808,1257
530,34.701447,-1.342021,1775
531,34.606836,-1.123752,1454
532,34.42199,-1.074978,1374
533,34.229233,-0.841204,1300
534,34.186033,-0.761706,1400
535,34.510725,-1.235628,1541
536,34.24996,-0.843926,1195
537,34.540616,-1.185158,1464
538,34.445288,-1.100432,1401
539,34.421372,-0.950289,1348
540,39.598454,-4.0733,NA
541,39.703479,-4.056704,12
542,39.606259,-3.989733,12
543,39.626168,-4.00098,51
544,39.697258,-3.959393,20
545,39.635549,-4.141746,15
546,39.636371,-4.121967,21
547,39.651603,-3.985857,15
548,39.631088,-4.011807,52
549,39.665475,-3.985781,4
550,39.742412,-3.97972,11
551,39.709179,-3.952106,11
552,39.657435,-4.049981,26
553,39.629731,-3.971361,26
554,39.59755,-4.10128,40
555,39.701979,-4.022198,17
556,39.705673,-4.02077,17
557,39.641936,-3.970913,23
558,39.658743,-4.106179,19
559,39.628899,-4.092015,23
560,36.781007,-0.81506,2219
561,36.804225,-0.603932,2358
562,37.150075,-0.784118,1341
563,37.02012,-0.60343,1705
564,37.133172,-0.731544,1349
565,36.978769,-0.642016,1667
566,36.940837,-0.628225,1772
567,37.165115,-0.677639,1383
568,36.970068,-0.940351,1642
569,36.880269,-0.792779,2010
570,37.186047,-0.68204,1213
571,36.812553,-0.67973,2315
572,37.16223,-0.984556,1466
573,37.14837,-0.907196,1436
574,36.939311,-0.912652,1732
575,37.03358,-0.710149,1599
576,36.915079,-0.778612,1851
577,37.153293,-0.810573,1344
578,36.875783,-0.878666,1859
579,36.748075,-0.779474,2415
580,36.831447,-1.278547,1661
581,36.844226,-1.275085,1648
582,36.916712,-1.335717,1618
583,36.888912,-1.357533,1633
584,36.891845,-1.331843,1631
585,36.936507,-1.225849,1538
586,36.957354,-1.243745,1514
587,36.762321,-1.356504,1792
588,36.863303,-1.273503,1625
589,36.816953,-1.30138,1675
590,36.910743,-1.2713,1597
591,36.945082,-1.426399,1524
592,36.90981,-1.297456,1607
593,36.775829,-1.264501,1750
594,36.789696,-1.306651,1750
595,36.911583,-1.24776,1577
596,37.081609,-1.248657,1482
597,36.732364,-1.338607,1843
598,36.914507,-1.196573,1538
599,37.003425,-1.264883,1502
600,36.214099,0.092289,1876
601,36.349643,-0.825648,1896
602,35.913345,-0.522974,2784
603,35.834208,-0.198462,1906
604,36.071211,-0.188331,1860
605,35.849132,-0.103746,1921
606,36.272656,-0.760081,1897
607,36.064077,-0.042735,1667
608,36.010469,-0.047572,1643
609,36.194305,-0.545499,1884
610,36.119715,-0.462039,1795
611,36.146154,-0.01398,1652
612,35.905551,-0.21637,1941
613,36.035056,0.000308,1610
614,35.738127,-0.283491,2538
615,36.422301,-0.870422,2060
616,36.313238,-0.427198,2253
617,36.151391,-0.153492,2087
618,35.593722,-0.599646,2401
619,35.905448,-0.450245,2631
620,35.08466,0.140517,1906
621,35.196432,0.053419,1691
